Company Name (Infomerics),Company Name (d365),Sector,Match Score,Match Quality,Infomerics Rating,Infomerics Last Date,Infomerics Instrument,d365 Agency,d365 Rating,d365 Last Date,Urgency,Why Target,ACER Pitch,Classification Method,Classification Rationale
Auro Impex & Chemicals Limited,Auro Impex & Chemicals Ltd.,Chemicals,91.2280701754386,HIGH,IVR BB- (INC)(Downgraded),2025-06-12,Long Term Bank Facilities,CARE,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Aventura Components Private Limited,Aventura Components Pvt. Ltd.,Manufacturing – Auto/Industrial,84.375,MEDIUM,IVR D (INC)(Reaffirmed),2025-10-23,Long Term Bank Facilities,BRICKWORK,D,2025-07-08,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Components = auto or industrial parts
Balaji Dayalpura Infra Private Limited,Balaji Dayalpura Infra Pvt. Ltd.,Infrastructure,85.71428571428572,MEDIUM,IVR BB+ (INC)(Downgraded),2025-01-06,Long Term Bank Facilities,CRISIL,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Bemco Sleepers Limited,Bemco Sleepers Ltd.,Manufacturing – Infrastructure,87.8048780487805,MEDIUM,IVR C+ (INC)(Downgraded),2025-03-31,Long Term Bank Facility,"BRICKWORK, IND-RA",A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Sleepers = railway concrete sleepers
Bharath Hi-Tecch Builders Private Limited,Bharath Hi-Tech Builders Pvt. Ltd.,Construction,85.33333333333333,MEDIUM,IVR BB- (INC)(Downgraded),2025-11-14,Long Term Bank Facilities,CRISIL,B,2025-12-09,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Bhavani Shipping Services (India) Private Limited,Bhavani Shipping Services (India) Pvt. Ltd.,Logistics,89.13043478260869,MEDIUM,IVR B (INC) (Downgraded),2026-02-03,Long Term Bank Facility,CRISIL,B,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Celebrity Breweries Private Limited,Celebrity Breweries Pvt. Ltd.,Agro/Food,84.375,MEDIUM,IVR BB- (INC)(Downgraded),2025-07-29,Long Term Bank Facilities,CRISIL,B,2026-12-01,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Breweries = food & beverage / alcohol
Cerebra Integrated Technologies Limited,Cerebra Integrated Technologies Ltd.,Technology / IT,93.33333333333331,HIGH,IVR D (INC)(Reaffirmed),2026-01-23,Long Term Bank Facilities,CRISIL,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Integrated Technologies = IT/tech company
Chintpurni Steel Private Limited,Chintpurni Steels Pvt. Ltd.,Steel & Metals,81.35593220338984,MEDIUM,IVR BB (INC)(Downgraded),2025-10-17,Long Term Bank Facilities,"BRICKWORK, CARE",B-/A4,2025-05-12,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Chrysalis Trading Private Limited,Chrysalis Trading Pvt. Ltd.,Trading,83.33333333333334,MEDIUM,IVR D (INC),2025-12-12,Long Term Facility - Fund Based - Cash Credit,BRICKWORK,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Clean Coal Enterprises Private Limited,Clean Coal Enterprises Pvt. Ltd.,Mining / Energy,85.71428571428572,MEDIUM,IVR BB- (INC)(Reaffirmed & Withdrawn),2023-05-02,Long Term Bank Facilities,"ACUITE, IND-RA",A 4+,2026-06-03,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Coal = mining/energy sector
Compuage Infocom Limited,Compuage Infocom Ltd.,Technology / IT,88.88888888888889,MEDIUM,IVR D (INC) (Reaffirmed),2025-10-27,Long Term Bank Facilities,CARE,D,2025-03-11,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Infocom = IT distribution / technology
Cruso Granito Private Limited,Cruso Granito Pvt. Ltd.,Manufacturing – Tiles/Stone,80.76923076923077,MEDIUM,IVR C+ (INC) (Downgraded),2026-01-29,Long Term Bank Facilities,CARE,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Granito = granite/tile manufacturing
Data Ingenious Global Limited,Data Ingenious Global Ltd.,Technology / IT,90.9090909090909,HIGH,IVR B+ (INC)(Downgraded),2026-02-10,Long Term Bank Facilities,ACUITE,A 4+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Data technology = IT/analytics
Davinder Sandhu Impex Private Limited,Davinder Sandhu Impex Pvt. Ltd.,Trading / Import-Export,85.29411764705883,MEDIUM,IVR BB (INC)(Downgraded),2025-05-22,Long Term Bank Facilities,CARE,BB-,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Impex = import-export trading
Deccan Ferro Alloys Private Limited,Deccan Ferro Alloys Pvt. Ltd.,Steel & Metals,84.375,MEDIUM,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-01-08,Long Term Fund Based Facility,ACUITE,A 4+,2025-06-06,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Eagle Steels Rolling Mills Private Limited,Eagle Steels Rolling Mills Pvt. Ltd.,Steel & Metals,87.17948717948718,MEDIUM,IVR D (INC)(Reaffirmed),2026-01-28,Long Term Bank Facilities,"BRICKWORK, CARE",D,2025-08-12,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Earth Water Limited,Earth Water Ltd.,Infrastructure,85.71428571428572,MEDIUM,IVR D (INC)(Reaffirmed),2025-10-23,Long Term Bank Facilities,BRICKWORK,D,2025-07-11,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Enn Enn Corp Limited,Enn Enn Corp Ltd.,Manufacturing – Industrial,86.48648648648648,MEDIUM,IVR BB+ (INC)(Downgraded),2025-09-01,Long Term Bank Facilities,IND-RA,B+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Corp = general industrial/manufacturing
Esspal International Private Limited,Esspal International Pvt. Ltd.,Trading / Import-Export,84.84848484848484,MEDIUM,IVR BB (INC)(Downgraded),2025-09-30,Long Term Bank Facility,ACUITE,A 4+,2026-02-01,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,International = import-export trading
Everrenew Energy Private Limited,Everrenew Energy Pvt. Ltd.,Infrastructure,82.75862068965517,MEDIUM,IVR BB+ (INC)(Downgraded),2025-05-26,Long Term Bank Facilities,IND-RA,A 3,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Farm India Impex Private Limited,Farm India Impex Pvt. Ltd.,Agro/Food,82.75862068965517,MEDIUM,IVR B+ (INC)(Downgraded),2025-05-19,Long Term Bank Facilities,ICRA,A 4+,2026-08-01,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Fastbuild Blocks Private Limited,Fastbuild Blocks Pvt. Ltd.,Construction,82.75862068965517,MEDIUM,IVR C+ (INC)(Downgraded),2026-02-02,Long Term Bank Facilities,"CRISIL, IND-RA",B-,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Fastbuild Blocks = construction materials/blocks
Frontier Knitters Private Limited,Frontier Knitters Pvt. Ltd.,Textiles,83.33333333333334,MEDIUM,IVR B (INC)(Downgraded),2025-04-01,Long Term Bank Facilities,"CRISIL, IND-RA",B,2025-06-10,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Knitters = textile/knitwear manufacturing
Future Enterprises Limited,Future Enterprises Ltd.,Retail / Consumer,89.79591836734694,MEDIUM,IVR D (INC)(Reaffirmed),2025-02-24,Short Term Facilities,"ACUITE, CARE",D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Future Group enterprise = retail/consumer
Gem Sugars Limited,Gem Sugars Ltd.,Agro/Food,84.84848484848484,MEDIUM,IVR B (INC)(Downgraded),2025-09-22,Long Term Bank Facilities,BRICKWORK,A 4,2026-03-03,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Global Powersource (India) Private Limited,Global Powersource (India) Pvt. Ltd.,Infrastructure,87.17948717948718,MEDIUM,IVR D (INC)(Reaffirmed),2026-02-10,Long Term Bank Facility,"BRICKWORK, IND-RA",D,2025-08-05,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Glowmore Finance Private Limited,Glowmore Finance Pvt. Ltd.,BFSI,82.75862068965517,MEDIUM,IVR B- (INC)(Downgraded),2025-04-30,Proposed Long-term Bank Facilities,IND-RA,B+,2025-10-11,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Goodwill Advance Construction Company Private Limited,Goodwill Advance Construction Co. Pvt. Ltd.,Construction,83.33333333333334,MEDIUM,IVR BB+ (INC)(Downgraded),2025-12-02,Long Term Bank Facilities,"CARE, ICRA",A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Grospinz Fabz Limited,Grospinz Fabz Ltd.,Textiles,87.17948717948718,MEDIUM,IVR BBB- (INC) (Downgraded),2025-11-28,Long Term Bank Facilities,ACUITE,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Fabz = fabric / textile manufacturing
Gulzar Motors Private Limited,Gulzar Motors Pvt. Ltd.,Auto / Dealership,80.76923076923077,MEDIUM,IVR BB (INC)(Downgraded),2025-05-16,Long Term Bank Facilities,"BRICKWORK, CRISIL",A 4,2025-10-09,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Motors = automobile dealership or auto parts
Gupta Power Infrastructure Limited,Gupta Power Infrastructure Ltd.,Infrastructure,92.3076923076923,HIGH,IVR D (INC) (Reaffirmed),2026-01-14,Long Term Bank Facilities,CRISIL,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Hartek Power Private Limited,Hartek Power Pvt. Ltd.,Infrastructure,80.0,MEDIUM,IVR BB+ (INC)(Withdrawn),2026-01-13,Long Term Facilities,BRICKWORK,A 4,2026-10-03,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Hind Energy Coal and Benefication (India) Limited,Hind Energy & Coal Benefication (India) Ltd.,Infrastructure,88.17204301075269,MEDIUM,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-06-02,Long Term Bank Facilities,"ACUITE, IND-RA",A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Imperial Granites Pvt Ltd,Imperial Granites Pvt. Ltd.,Manufacturing – Tiles/Stone,96.15384615384616,HIGH,IVR BB (INC)(Reaffirmed & Withdrawn),2021-10-21,Long Term Bank Facilities,CRISIL,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Granites = granite/stone/tile manufacturing
Independent Resources India Private Limited,Independent Resources India Pvt. Ltd.,Mining / Energy,87.5,MEDIUM,IVR B+ (INC)(Downgraded),2025-05-30,Long Term Bank Facilities,CRISIL,B,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Resources = mining or natural resources
Inderjit Mehta Constructions Private Limited,Inderjit Mehta Constructions Pvt. Ltd.,Construction,87.8048780487805,MEDIUM,IVR BB (INC) (Downgraded),2026-01-22,Long Term Bank Facilities,BRICKWORK,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
India Mega Agro Anaj Limited,India Mega Agro-Anaj Ltd.,Agro/Food,86.79245283018868,MEDIUM,IVR D (INC) (Reaffirmed),2025-12-01,Long Term Bank Facilities,CRISIL,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Intergen Energy Limited,Intergen Energy Ltd.,Infrastructure,88.37209302325581,MEDIUM,IVR B (INC)(Downgraded),2025-03-26,Long Term Bank Facilities,BRICKWORK,A 4,2026-03-02,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
JS Auto Cast Foundry India Private Limited,J S Auto Cast Foundry India Pvt. Ltd.,Steel & Metals,83.54430379746836,MEDIUM,IVR B+ (INC)(Downgraded),2026-01-09,Long Term Bank Facilities,"ACUITE, CRISIL",A 4,2026-02-02,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Jagruti Sugar & Allied Industries Limited,Jagruti Sugar & Allied Inds. Ltd.,Agro/Food,83.78378378378379,MEDIUM,IVR BB (INC)(Downgraded),2025-09-22,Long Term Bank Facilities,IND-RA,BB-/A4+,2026-12-01,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Jai Hind Sugar Private Limited,Jai Hind Sugar Pvt. Ltd.,Agro/Food,81.4814814814815,MEDIUM,IVR BB+ (INC)(Downgraded),2025-12-10,Long Term Bank Facilities,"BRICKWORK, IND-RA",B,2025-11-09,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Jaywant Sugars Limited,Jaywant Sugars Ltd.,Agro/Food,87.8048780487805,MEDIUM,IVR BB- (INC) (Downgraded),2025-12-11,Long Term Fund Based Bank Facilities,CRISIL,B,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Kalinga International,Kings International Ltd.,Trading / Import-Export,80.0,MEDIUM,IVR D (INC)(Reaffirmed),2025-09-09,Long Term Bank Facilities,"BRICKWORK, CRISIL",A 4,2025-07-10,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,International = trading/export
Kalpataruvu Spinning Mills Private Limited,Kalpataruvu Spinning Mills Pvt. Ltd.,Textiles,87.17948717948718,MEDIUM,IVR D (INC)(Downgraded),2024-12-16,Long Term Bank Facilities,"CARE, CRISIL, IND-RA",D,2026-05-02,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Session 4 — keyword matching,Sector keyword found in company name
Katyayini Paper Mills Private Limited,Katyayini Paper Mills Pvt. Ltd.,Manufacturing – Paper,85.29411764705883,MEDIUM,IVR BB+ (INC)(Downgraded),2026-01-08,Long Term Facilities,BRICKWORK,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Paper Mills = paper manufacturing
Kaveri Garage Private Limited,Kaveri Garage Pvt. Ltd.,Auto / Services,80.76923076923077,MEDIUM,IVR B+ (INC) (Downgraded),2025-12-05,Long Term Facilities,CRISIL,B,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship.",Manual — company name analysis,Garage = automotive services/repair
